ref	text	macula_lemma	macula_eng	macula_lxx_greek	hcb	cu2010s	cu2010t	rso94	sruv06	tbi	lsg10	rv09	tpb08	esvuk16	arbnav	tglulb	bsb	engulb	bbc
GEN 2:4!8	יְהוָ֥ה	יהוה	LORD		Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
GEN 2:5!15	יְהוָ֤ה	יהוה	LORD		Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová		LORD	الرَّبَّ	Yahweh	LORD	Yahweh	Jahowa
GEN 2:7!2	יְהוָ֨ה	יהוה	LORD		Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
GEN 2:8!2	יְהוָ֧ה	יהוה	LORD	κύριος	Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
GEN 2:8!5	עֵ֖דֶן	עֵ֫דֶן	Eden	εδεμ	Eden	伊甸	伊甸	Едеме	Edeni	eden	Éden	Edén	iden	Eden	عَدْنٍ	Eden	Eden	Eden	Eden
GEN 2:9!2	יְהוָ֤ה	יהוה	LORD		Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová		LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
GEN 2:10!3	עֵ֔דֶן	עֵ֫דֶן	Eden	εδεμ	Eden	伊甸	伊甸	Едема	Edeni	eden	Éden	Edén	iden	Eden	عَدْنٍ	Eden	Eden	Eden	Eden
GEN 2:11!3	פִּישׁ֑וֹן	פִּישׁוֹן	Pishon	φισων	Fishon	比逊	比遜	Фисон	Pishoni	pison	Pischon	Pisón		Pishon	فِيشُونَ	Pishon	Pishon	Pishon	
GEN 2:11!9	חֲוִילָ֔ה	חֲוִילָה	Havilah	ευιλατ	Hawila	哈腓拉	哈腓拉	Хавила	Havila	hawila	Havila	Havila	havila	Havilah	الْحَوِيلَةِ	Havila	Havilah	Havilah	Hevila
GEN 2:13!4	גִּיח֑וֹן	גִּיחוֹן	Gihon	γηων	Gihon	基训	基訓	Гихон	Gihoni	gihon	Guihon	Gihón		Gihon	جِيحُونَ	Gihon	Gihon	Gihon	Gihon
GEN 2:13!10	כּֽוּשׁ	כּוּשׁ	Cush	αἰθιοπίας	Kush	古实	古實	Куш	Kushi	kush	Cusch	Cus	kus	Cush	كُوشٍ		Cush	Cush	Kus
GEN 2:14!4	חִדֶּ֔קֶל	חִדֶּ֫קֶל	Tigris	τίγρις	Tigris	底格里斯	底格里斯	Хиддекель	Hidekeli	tigris	Hiddékel	Hidekel		Tigris		Tigris	Hiddekel	Tigris	Hidekel
GEN 2:14!8	אַשּׁ֑וּר	אַשּׁוּר	Assyria	ἀσσυρίων	Asshur	亚述	亞述	Ассириею	Ashuru	Asyur	Assyrie	Asiria		Assyria	أَشُّورَ		Assyria		Assur
GEN 2:14!12	פְרָֽת	פְּרָת	Euphrates	εὐφράτης	Yuferites	幼发拉底	幼發拉底	Евфрат	Frati	efrat	Euphrate	Éufrates		Euphrates	الْفُرَاتُ	Eufrates	Euphrates	Euphrates	aek
GEN 2:15!2	יְהוָ֥ה	יהוה	LORD	κύριος	Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
GEN 2:15!8	עֵ֔דֶן	עֵ֫דֶן	Eden		Eden	伊甸园	伊甸園	Едемском	Edeni	eden	Éden	Edén	iden	Eden	عَدْنٍ	Eden	Eden	Eden	Eden
GEN 2:16!2	יְהוָ֣ה	יהוה	LORD	κύριος	Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová		LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
GEN 2:18!2	יְהוָ֣ה	יהוה	LORD	κύριος	Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	ninna
GEN 2:19!2	יְהוָ֨ה	יהוה	LORD		Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová		LORD	الرَّبُّ	Yahweh	LORD	Yahweh	sun
GEN 2:21!2	יְהוָ֨ה	יהוה	LORD		Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
GEN 2:22!2	יְהוָ֨ה	יהוה	LORD	κύριος	Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová		LORD		Yahweh	LORD	Yahweh	Jahowa
GEN 3:1!9	יְהוָ֣ה	יהוה	LORD	κύριος	Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
GEN 3:8!4	יְהוָ֧ה	יהוה	LORD	κυρίου	Ubangiji	耶和华	耶和華	Господа	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبِّ	Yahweh	LORD	Yahweh	Jahowa
GEN 3:8!14	יְהוָ֣ה	יהוה	LORD	κυρίου	Ubangiji	耶和华	耶和華	Господа	BWANA	tuhan	Éternel	Jehová		LORD	الرَّبِّ	Yahweh	LORD	Yahweh	Jahowa
GEN 3:9!2	יְהוָ֥ה	יהוה	LORD	κύριος	Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
GEN 3:13!2	יְהוָ֧ה	יהוה	LORD	κύριος	Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
GEN 3:14!2	יְהֹוָ֨ה	יהוה	LORD	κύριος	Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
GEN 3:17!1	אָדָ֣ם	אָדָם	Adam	αδαμ	Adamu	亚当	亞當	Адаму	Adamu			hombre	adam	Adam	لِآدَمَ	Adan	Adam	Adam	
